didok,stationsbezeichnung,service,periodevon,periodebis,von1,bis1,von2,bis2,von3,bis3,Mo,Di,Mi,Do,Fr,Sa,So,Oeffnungsdauer,Dauer Mo-Fr,Dauer Sa,Dauer So,Unternehmung,geopos,ID
8005,Burgdorf,Eventtickets,,01.01.1931,0001-01-01T08:23:28+00:53,0001-01-01T12:53:28+00:53,0001-01-01T13:53:28+00:53,0001-01-01T18:53:28+00:53,,,0,0,0,0,0,1,1,9.30 Std/Min.,47.30 Std/Min.,9.30 Std/Min.,9.30 Std/Min.,SBB,"47.0606957305, 7.62168894507",874
8005,Burgdorf,Gepäck,,01.01.1931,0001-01-01T09:53:28+00:53,0001-01-01T12:53:28+00:53,0001-01-01T13:53:28+00:53,0001-01-01T18:23:28+00:53,,,0,0,0,0,0,1,1,7.30 Std/Min.,37.30 Std/Min.,7.30 Std/Min.,7.30 Std/Min.,SBB,"47.0606957305, 7.62168894507",875
8008,Herzogenbuchsee,"Billette, Abonnemente, Freizeitangebote",,01.01.1931,0001-01-01T09:03:28+00:53,0001-01-01T12:53:28+00:53,0001-01-01T13:53:28+00:53,0001-01-01T16:53:28+00:53,,,0,0,0,0,0,1,0,6.50 Std/Min.,34.10 Std/Min.,6.50 Std/Min.,,SBB,"47.1880813308, 7.70094642682",876
8008,Herzogenbuchsee,Eventtickets,,01.01.1931,0001-01-01T07:38:28+00:53,0001-01-01T19:43:28+00:53,,,,,1,1,1,1,1,,,12.5 Std/Min.,60.25 Std/Min.,,,SBB,"47.1880813308, 7.70094642682",877
8008,Herzogenbuchsee,Eventtickets,,01.01.1931,0001-01-01T09:03:28+00:53,0001-01-01T12:53:28+00:53,0001-01-01T13:53:28+00:53,0001-01-01T16:53:28+00:53,,,0,0,0,0,0,1,0,6.50 Std/Min.,34.10 Std/Min.,6.50 Std/Min.,,SBB,"47.1880813308, 7.70094642682",878
8008,Herzogenbuchsee,Geldwechsel,,01.01.1931,0001-01-01T08:03:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,0,0,11.20 Std/Min.,56.40 Std/Min.,,,SBB,"47.1880813308, 7.70094642682",879
8008,Herzogenbuchsee,Western Union,,01.01.1931,0001-01-01T09:03:28+00:53,0001-01-01T18:43:28+00:53,,,,,,,,,,1,,9.40 Std/Min.,,9.40 Std/Min.,,SBB,"47.1880813308, 7.70094642682",880
8054,Worblaufen,Reisebüro KTU,01.01.2003,01.01.1931,0001-01-01T08:03:28+00:53,0001-01-01T14:33:28+00:53,,,,,,,,,,1,,6.30 Std/Min.,,6.30 Std/Min.,,RBS,"46.9788398969, 7.45762397105",881
8059,Jegenstorf,"Billette, Abonnemente, Freizeitangebote",01.01.2004,01.01.2011,0001-01-01T06:18:28+00:53,0001-01-01T19:03:28+00:53,,,,,1,1,1,1,1,,,12.45 Std/Min.,63.45 Std/Min.,,,RBS,"47.0476153289, 7.50777274234",882
8061,Fraubrunnen,"Billette, Abonnemente, Freizeitangebote",01.01.2005,01.01.1931,0001-01-01T06:53:28+00:53,0001-01-01T17:53:28+00:53,,,,,1,1,1,1,1,,,11.0 Std/Min.,55.0 Std/Min.,,,RBS,"47.0864551802, 7.52215043262",883
8061,Fraubrunnen,"Billette, Abonnemente, Freizeitangebote",01.01.2005,01.01.1931,0001-01-01T07:53:28+00:53,0001-01-01T12:53:28+00:53,,,,,,,,,,1,1,5.0 Std/Min.,,5.0 Std/Min.,5.0 Std/Min.,RBS,"47.0864551802, 7.52215043262",884
8084,Kirchberg-Alchenflüh,"Billette, Abonnemente, Freizeitangebote",01.01.2011,01.01.1931,0001-01-01T08:23:28+00:53,0001-01-01T12:38:28+00:53,0001-01-01T13:08:28+00:53,0001-01-01T16:33:28+00:53,,,0,0,0,0,0,1,0,7.40 Std/Min.,38.20 Std/Min.,7.40 Std/Min.,,BLS,"47.0834934517, 7.58014043614",885
8084,Kirchberg-Alchenflüh,Eventtickets,01.01.2011,01.01.1931,0001-01-01T08:23:28+00:53,0001-01-01T12:38:28+00:53,0001-01-01T13:08:28+00:53,0001-01-01T16:33:28+00:53,,,0,0,0,0,0,1,0,7.40 Std/Min.,38.20 Std/Min.,7.40 Std/Min.,,BLS,"47.0834934517, 7.58014043614",886
8084,Kirchberg-Alchenflüh,Reisebüro KTU,,01.01.2010,0001-01-01T08:03:28+00:53,0001-01-01T20:38:28+00:53,,,,,1,1,1,1,1,,,12.35 Std/Min.,62.55 Std/Min.,,,BLS,"47.0834934517, 7.58014043614",887
8084,Kirchberg-Alchenflüh,Reisebüro KTU,01.01.2011,01.01.1931,0001-01-01T07:23:28+00:53,0001-01-01T19:38:28+00:53,,,,,1,1,1,1,1,,,12.15 Std/Min.,61.15 Std/Min.,,,BLS,"47.0834934517, 7.58014043614",888
8088,Gerlafingen,"Billette, Abonnemente, Freizeitangebote",01.01.2016,01.01.1931,0001-01-01T06:08:28+00:53,0001-01-01T23:53:28+00:53,,,,,1,1,1,1,1,1,0,17.45 Std/Min.,88.45 Std/Min.,17.45 Std/Min.,,BLS,"47.1697445507, 7.56518564422",889
8089,Biberist Ost,"Billette, Abonnemente, Freizeitangebote",01.01.2016,01.01.1931,0001-01-01T06:08:28+00:53,0001-01-01T20:23:28+00:53,,,,,1,1,1,1,1,0,0,14.15 Std/Min.,71.15 Std/Min.,,,BLS,"47.1806269395, 7.56634577241",890
8089,Biberist Ost,Gepäck,01.01.2016,01.01.1931,0001-01-01T06:33:28+00:53,0001-01-01T13:33:28+00:53,,,,,0,0,0,0,0,0,1,7.0 Std/Min.,35.0 Std/Min.,,7.0 Std/Min.,BLS,"47.1806269395, 7.56634577241",891
8092,Schönbühl Einkaufszentrum (Shoppyland),"Billette, Abonnemente, Freizeitangebote",01.01.2024,01.01.1931,0001-01-01T09:53:28+00:53,0001-01-01T22:23:28+00:53,,,,,,,,,1,,,12.30 Std/Min.,12.30 Std/Min.,,,SBB,,892
8100,Langenthal,Eventtickets,,01.01.1931,0001-01-01T07:23:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,,,12.30 Std/Min.,62.30 Std/Min.,,,SBB,"47.2173003777, 7.78470885276",893
8100,Langenthal,Eventtickets,,01.01.1931,0001-01-01T09:53:28+00:53,0001-01-01T18:23:28+00:53,,,,,,,,,,,1,8.30 Std/Min.,,,8.30 Std/Min.,SBB,"47.2173003777, 7.78470885276",894
8100,Langenthal,Eventtickets,,01.01.1931,0001-01-01T07:53:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,0,0,12.0 Std/Min.,60.0 Std/Min.,,,SBB,"47.2173003777, 7.78470885276",895
8100,Langenthal,Geldwechsel,,01.01.1931,0001-01-01T07:23:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,,,12.30 Std/Min.,62.30 Std/Min.,,,SBB,"47.2173003777, 7.78470885276",896
8100,Langenthal,Gepäck,,01.01.1931,0001-01-01T09:53:28+00:53,0001-01-01T18:23:28+00:53,,,,,0,0,0,0,0,0,1,8.30 Std/Min.,42.30 Std/Min.,,8.30 Std/Min.,SBB,"47.2173003777, 7.78470885276",897
8100,Langenthal,Western Union,,01.01.1931,0001-01-01T07:23:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,,,12.30 Std/Min.,62.30 Std/Min.,,,SBB,"47.2173003777, 7.78470885276",898
1688,Täsch,"Billette, Abonnemente, Freizeitangebote",01.01.2008,01.01.2013,0001-01-01T07:53:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,1,1,12.0 Std/Min.,60.0 Std/Min.,12.0 Std/Min.,12.0 Std/Min.,MGB,"46.0674587948, 7.77451598603",899
1688,Täsch,Gepäck,01.01.2014,01.01.1931,0001-01-01T08:53:28+00:53,0001-01-01T18:53:28+00:53,,,,,1,1,1,1,1,1,1,10.0 Std/Min.,50.0 Std/Min.,10.0 Std/Min.,10.0 Std/Min.,MGB,"46.0674587948, 7.77451598603",900
6317,Heerbrugg,Gepäck,,01.01.1931,0001-01-01T07:53:28+00:53,0001-01-01T17:53:28+00:53,,,,,1,1,1,1,1,0,0,10.0 Std/Min.,50.0 Std/Min.,,,SBB,"47.4103853071, 9.62724352946",901
6393,Wittenbach,"Billette, Abonnemente, Freizeitangebote",,01.01.1931,0001-01-01T08:03:28+00:53,0001-01-01T12:53:28+00:53,0001-01-01T14:53:28+00:53,0001-01-01T18:23:28+00:53,,,1,1,1,1,1,,,8.20 Std/Min.,41.40 Std/Min.,,,SOB,"47.4628476165, 9.38853751225",902
6393,Wittenbach,Fundservice,,01.01.1931,0001-01-01T08:03:28+00:53,0001-01-01T13:53:28+00:53,,,,,,,,,,1,,5.50 Std/Min.,,5.50 Std/Min.,,SOB,"47.4628476165, 9.38853751225",903
6393,Wittenbach,Gepäckaufbewahrung,,01.01.1931,0001-01-01T08:03:28+00:53,0001-01-01T12:53:28+00:53,0001-01-01T14:53:28+00:53,0001-01-01T18:23:28+00:53,,,1,1,1,1,1,,,8.20 Std/Min.,41.40 Std/Min.,,,SOB,"47.4628476165, 9.38853751225",904
7000,Bern,Geldwechsel,01.01.2004,01.01.1931,0001-01-01T07:53:28+00:53,0001-01-01T19:53:28+00:53,,,,,,,,,,1,,12.0 Std/Min.,,12.0 Std/Min.,,SBB,"46.948824497, 7.43911900576",905
7000,Bern,Geldwechsel,01.01.2004,01.01.1931,0001-01-01T07:53:28+00:53,0001-01-01T20:23:28+00:53,,,,,1,1,1,1,1,,,12.30 Std/Min.,62.30 Std/Min.,,,SBB,"46.948824497, 7.43911900576",906
7000,Bern,Gepäck,01.01.2004,01.01.1931,0001-01-01T08:53:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,1,,11.0 Std/Min.,55.0 Std/Min.,11.0 Std/Min.,,SBB,"46.948824497, 7.43911900576",907
7000,Bern,Western Union,01.01.2008,01.01.1931,0001-01-01T07:53:28+00:53,0001-01-01T19:53:28+00:53,,,,,0,0,0,0,0,1,0,12.0 Std/Min.,60.0 Std/Min.,12.0 Std/Min.,,SBB,"46.948824497, 7.43911900576",908
7006,Münsingen,Eventtickets,01.01.2005,01.01.1931,0001-01-01T08:23:28+00:53,0001-01-01T17:23:28+00:53,,,,,,,,,,1,,9.0 Std/Min.,,9.0 Std/Min.,,SBB,"46.8733456586, 7.55942999819",909
7006,Münsingen,Geldwechsel,01.01.2005,01.01.1931,0001-01-01T07:53:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,,,11.30 Std/Min.,57.30 Std/Min.,,,SBB,"46.8733456586, 7.55942999819",910
7006,Münsingen,Gepäck,01.01.2005,01.01.1931,0001-01-01T07:53:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,,,11.30 Std/Min.,57.30 Std/Min.,,,SBB,"46.8733456586, 7.55942999819",911
7006,Münsingen,Gepäckaufbewahrung,01.01.2005,01.01.1931,0001-01-01T08:23:28+00:53,0001-01-01T17:23:28+00:53,,,,,,,,,,1,,9.0 Std/Min.,,9.0 Std/Min.,,SBB,"46.8733456586, 7.55942999819",912
7063,Worb Dorf,"Billette, Abonnemente, Freizeitangebote",,01.01.1931,0001-01-01T06:08:28+00:53,0001-01-01T22:08:28+00:53,,,,,1,1,1,1,1,,,16.0 Std/Min.,80.0 Std/Min.,,,RBS,"46.9299855627, 7.5624714622",913
7070,Uetendorf,Drittverkauf,,01.01.1930,0001-01-01T07:03:28+00:53,0001-01-01T20:03:28+00:53,,,,,1,1,1,1,1,,,13.0 Std/Min.,65.0 Std/Min.,,,BLS,"46.7749215575, 7.57284100188",914
7071,Seftigen,"Billette, Abonnemente, Freizeitangebote",01.01.2029,01.01.1931,0001-01-01T08:23:28+00:53,0001-01-01T12:53:28+00:53,0001-01-01T13:53:28+00:53,0001-01-01T17:23:28+00:53,,,,,,,,1,,8.0 Std/Min.,,8.0 Std/Min.,,BLS,"46.7868468574, 7.54028748019",915
7071,Seftigen,Gepäck,01.01.2029,01.01.1931,0001-01-01T07:23:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,,,12.30 Std/Min.,62.30 Std/Min.,,,BLS,"46.7868468574, 7.54028748019",916
7076,Belp,"Billette, Abonnemente, Freizeitangebote",,01.01.1931,0001-01-01T07:08:28+00:53,0001-01-01T20:08:28+00:53,,,,,,,,,,1,,13.0 Std/Min.,,13.0 Std/Min.,,BLS,"46.888883092, 7.49863601858",917
7076,Belp,"Billette, Abonnemente, Freizeitangebote",,01.01.1931,0001-01-01T07:08:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,1,,12.45 Std/Min.,63.45 Std/Min.,12.45 Std/Min.,,BLS,"46.888883092, 7.49863601858",918
7076,Belp,Check-in am Bahnhof,,01.01.1931,0001-01-01T08:38:28+00:53,0001-01-01T20:08:28+00:53,,,,,,,,,,,1,11.30 Std/Min.,,,11.30 Std/Min.,BLS,"46.888883092, 7.49863601858",919
7076,Belp,Check-in am Bahnhof,,01.01.2012,0001-01-01T07:08:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,1,0,12.45 Std/Min.,63.45 Std/Min.,12.45 Std/Min.,,BLS,"46.888883092, 7.49863601858",920
7076,Belp,Check-in am Bahnhof,01.01.2013,01.01.1931,0001-01-01T07:08:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,1,0,12.15 Std/Min.,61.15 Std/Min.,12.15 Std/Min.,,BLS,"46.888883092, 7.49863601858",921
7076,Belp,Geldwechsel,,01.01.1931,0001-01-01T07:08:28+00:53,0001-01-01T20:08:28+00:53,,,,,,,,,,1,,13.0 Std/Min.,,13.0 Std/Min.,,BLS,"46.888883092, 7.49863601858",922
7076,Belp,Geldwechsel,,01.01.1931,0001-01-01T07:08:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,1,,12.45 Std/Min.,63.45 Std/Min.,12.45 Std/Min.,,BLS,"46.888883092, 7.49863601858",923
7076,Belp,Gepäck,,01.01.1931,0001-01-01T08:38:28+00:53,0001-01-01T19:23:28+00:53,,,,,,,,,,,1,10.45 Std/Min.,,,10.45 Std/Min.,BLS,"46.888883092, 7.49863601858",924
7076,Belp,Gepäck,01.01.2013,01.01.1931,0001-01-01T07:08:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,1,0,12.15 Std/Min.,61.15 Std/Min.,12.15 Std/Min.,,BLS,"46.888883092, 7.49863601858",925
7076,Belp,Reisebüro KTU,,01.01.1931,0001-01-01T07:08:28+00:53,0001-01-01T20:08:28+00:53,,,,,,,,,,1,,13.0 Std/Min.,,13.0 Std/Min.,,BLS,"46.888883092, 7.49863601858",926
7076,Belp,Reisebüro KTU,,01.01.1931,0001-01-01T08:38:28+00:53,0001-01-01T20:08:28+00:53,,,,,,,,,,,1,11.30 Std/Min.,,,11.30 Std/Min.,BLS,"46.888883092, 7.49863601858",927
7079,Bern Weissenbühl,Geldwechsel,01.01.2022,01.01.1931,0001-01-01T09:53:28+00:53,0001-01-01T13:23:28+00:53,0001-01-01T14:23:28+00:53,0001-01-01T18:53:28+00:53,,,1,1,1,1,1,,,8.0 Std/Min.,40.0 Std/Min.,,,BLS,"46.9357720844, 7.43001838248",928
7079,Bern Weissenbühl,Gepäck,01.01.2022,01.01.1931,0001-01-01T09:53:28+00:53,0001-01-01T13:23:28+00:53,0001-01-01T14:23:28+00:53,0001-01-01T18:53:28+00:53,,,1,1,1,1,1,,,8.0 Std/Min.,40.0 Std/Min.,,,BLS,"46.9357720844, 7.43001838248",929
7083,Köniz,"Billette, Abonnemente, Freizeitangebote",01.01.2018,01.01.1931,0001-01-01T07:53:28+00:53,0001-01-01T17:53:28+00:53,,,,,,,,,,1,,10.0 Std/Min.,,10.0 Std/Min.,,BLS,"46.9248766858, 7.41515748881",930
7089,Schwarzenburg,"Billette, Abonnemente, Freizeitangebote",01.01.2014,01.01.1931,0001-01-01T08:33:28+00:53,0001-01-01T12:23:28+00:53,0001-01-01T13:33:28+00:53,0001-01-01T17:53:28+00:53,,,,,,,,,1,8.10 Std/Min.,,,8.10 Std/Min.,BLS,"46.8191886776, 7.34283243216",931
7089,Schwarzenburg,Gepäck,01.01.2014,01.01.1931,0001-01-01T07:23:28+00:53,0001-01-01T19:13:28+00:53,,,,,1,1,1,1,1,,,11.50 Std/Min.,59.10 Std/Min.,,,BLS,"46.8191886776, 7.34283243216",932
7089,Schwarzenburg,Gepäck,01.01.2014,01.01.1931,0001-01-01T07:33:28+00:53,0001-01-01T12:23:28+00:53,0001-01-01T13:33:28+00:53,0001-01-01T16:53:28+00:53,,,,,,,,1,,8.10 Std/Min.,,8.10 Std/Min.,,BLS,"46.8191886776, 7.34283243216",933
7100,Thun,Beratung & Verkauf,,01.01.1931,0001-01-01T07:23:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,0,0,12.30 Std/Min.,62.30 Std/Min.,,,SBB,"46.7548532939, 7.62959464395",934
7100,Thun,Gepäckaufbewahrung,,01.01.1931,0001-01-01T07:23:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,,,12.30 Std/Min.,62.30 Std/Min.,,,SBB,"46.7548532939, 7.62959464395",935
7100,Thun,Velovermietung,,01.01.1931,0001-01-01T07:23:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,,,12.30 Std/Min.,62.30 Std/Min.,,,SBB,"46.7548532939, 7.62959464395",936
7271,Schönried,"Billette, Abonnemente, Freizeitangebote",01.01.2014,01.01.2003,0001-01-01T09:23:28+00:53,0001-01-01T12:53:28+00:53,0001-01-01T13:53:28+00:53,0001-01-01T17:53:28+00:53,,,1,1,1,1,1,1,1,7.30 Std/Min.,37.30 Std/Min.,7.30 Std/Min.,7.30 Std/Min.,MOB,"46.5045418942, 7.29110122969",937
7271,Schönried,Gepäck,01.01.2019,01.01.2013,0001-01-01T09:23:28+00:53,0001-01-01T12:53:28+00:53,0001-01-01T13:53:28+00:53,0001-01-01T17:53:28+00:53,,,1,1,1,1,1,0,0,7.30 Std/Min.,37.30 Std/Min.,,,MOB,"46.5045418942, 7.29110122969",938
7279,Lenk im Simmental,"Billette, Abonnemente, Freizeitangebote",01.01.2020,01.01.2020,0001-01-01T09:08:28+00:53,0001-01-01T13:28:28+00:53,0001-01-01T14:23:28+00:53,0001-01-01T18:33:28+00:53,,,0,0,0,0,0,1,0,8.30 Std/Min.,42.30 Std/Min.,8.30 Std/Min.,,MOB,"46.4585813799, 7.44352282181",939
7279,Lenk im Simmental,"Billette, Abonnemente, Freizeitangebote",01.01.2021,,0001-01-01T08:13:28+00:53,0001-01-01T19:33:28+00:53,,,,,,,,,,1,,11.20 Std/Min.,,11.20 Std/Min.,,MOB,"46.4585813799, 7.44352282181",940
7279,Lenk im Simmental,Geldwechsel,,01.01.1930,0001-01-01T09:08:28+00:53,0001-01-01T13:28:28+00:53,0001-01-01T14:23:28+00:53,0001-01-01T18:33:28+00:53,,,,,,,,1,1,8.30 Std/Min.,,8.30 Std/Min.,8.30 Std/Min.,MOB,"46.4585813799, 7.44352282181",941
7279,Lenk im Simmental,Geldwechsel,,01.01.2019,0001-01-01T07:48:28+00:53,0001-01-01T19:33:28+00:53,,,,,1,1,1,1,1,0,0,11.45 Std/Min.,58.45 Std/Min.,,,MOB,"46.4585813799, 7.44352282181",942
7279,Lenk im Simmental,Geldwechsel,,01.01.2019,0001-01-01T09:08:28+00:53,0001-01-01T13:28:28+00:53,0001-01-01T14:23:28+00:53,0001-01-01T18:33:28+00:53,,,0,0,0,0,0,0,1,8.30 Std/Min.,42.30 Std/Min.,,8.30 Std/Min.,MOB,"46.4585813799, 7.44352282181",943
7279,Lenk im Simmental,Gepäck,,01.01.1930,0001-01-01T09:08:28+00:53,0001-01-01T13:28:28+00:53,0001-01-01T14:23:28+00:53,0001-01-01T18:33:28+00:53,,,,,,,,1,1,8.30 Std/Min.,,8.30 Std/Min.,8.30 Std/Min.,MOB,"46.4585813799, 7.44352282181",944
7279,Lenk im Simmental,Gepäck,01.01.2021,,0001-01-01T08:13:28+00:53,0001-01-01T19:33:28+00:53,,,,,,,,,,1,,11.20 Std/Min.,,11.20 Std/Min.,,MOB,"46.4585813799, 7.44352282181",945
7279,Lenk im Simmental,Gepäckaufbewahrung,,01.01.1930,0001-01-01T07:48:28+00:53,0001-01-01T19:33:28+00:53,,,,,1,1,1,1,1,,,11.45 Std/Min.,58.45 Std/Min.,,,MOB,"46.4585813799, 7.44352282181",946
7279,Lenk im Simmental,Gepäckaufbewahrung,,01.01.1930,0001-01-01T09:08:28+00:53,0001-01-01T13:28:28+00:53,0001-01-01T14:23:28+00:53,0001-01-01T18:33:28+00:53,,,,,,,,1,1,8.30 Std/Min.,,8.30 Std/Min.,8.30 Std/Min.,MOB,"46.4585813799, 7.44352282181",947
7279,Lenk im Simmental,Gepäckaufbewahrung,01.01.2021,,0001-01-01T08:13:28+00:53,0001-01-01T19:33:28+00:53,,,,,,,,,,1,,11.20 Std/Min.,,11.20 Std/Min.,,MOB,"46.4585813799, 7.44352282181",948
7279,Lenk im Simmental,Velovermietung,01.01.2020,01.01.2020,0001-01-01T07:48:28+00:53,0001-01-01T19:33:28+00:53,,,,,1,1,1,1,1,0,0,11.45 Std/Min.,58.45 Std/Min.,,,MOB,"46.4585813799, 7.44352282181",949
7297,Oey-Diemtigen,Drittverkauf,01.01.2006,01.01.1931,0001-01-01T08:53:28+00:53,0001-01-01T12:53:28+00:53,,,,,,,,,,1,,4.0 Std/Min.,,4.0 Std/Min.,,BLS,"46.6599875736, 7.57932508843",950
7297,Oey-Diemtigen,Drittverkauf,,01.01.1931,0001-01-01T09:53:28+00:53,0001-01-01T12:53:28+00:53,,,,,,,,,,1,,3.0 Std/Min.,,3.0 Std/Min.,,BLS,"46.6599875736, 7.57932508843",951
7297,Oey-Diemtigen,Drittverkauf,,01.01.1931,0001-01-01T08:53:28+00:53,0001-01-01T12:53:28+00:53,0001-01-01T14:23:28+00:53,0001-01-01T16:53:28+00:53,,,1,1,1,1,1,,,6.30 Std/Min.,32.30 Std/Min.,,,BLS,"46.6599875736, 7.57932508843",952
7297,Oey-Diemtigen,Drittverkauf,,01.01.1931,0001-01-01T08:53:28+00:53,0001-01-01T12:53:28+00:53,,,,,,,,,,1,,4.0 Std/Min.,,4.0 Std/Min.,,BLS,"46.6599875736, 7.57932508843",953
7352,Bort,"Billette, Abonnemente, Freizeitangebote",01.01.2012,01.01.1931,0001-01-01T09:23:28+00:53,0001-01-01T17:53:28+00:53,,,,,1,1,1,1,1,1,1,8.30 Std/Min.,42.30 Std/Min.,8.30 Std/Min.,8.30 Std/Min.,BGF,"46.6467423125, 8.05173924626",954
7361,Eigergletscher,Gepäck,01.01.1930,01.01.1931,0001-01-01T07:53:28+00:53,0001-01-01T19:08:28+00:53,,,,,1,1,1,1,1,1,1,11.15 Std/Min.,56.15 Std/Min.,11.15 Std/Min.,11.15 Std/Min.,JB,"46.5748075236, 7.97407636075",955
7372,Wengen,"Billette, Abonnemente, Freizeitangebote",01.01.2016,01.01.2008,0001-01-01T06:53:28+00:53,0001-01-01T20:48:28+00:53,,,,,1,1,1,1,1,1,1,13.55 Std/Min.,69.35 Std/Min.,13.55 Std/Min.,13.55 Std/Min.,JB,"46.6049014894, 7.92100343934",956
7372,Wengen,"Billette, Abonnemente, Freizeitangebote",01.01.2009,01.01.2012,0001-01-01T06:23:28+00:53,0001-01-01T20:33:28+00:53,,,,,1,1,1,1,1,1,1,14.10 Std/Min.,70.50 Std/Min.,14.10 Std/Min.,14.10 Std/Min.,JB,"46.6049014894, 7.92100343934",957
7372,Wengen,Check-in am Bahnhof,,01.01.2008,0001-01-01T06:53:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,1,1,13.0 Std/Min.,65.0 Std/Min.,13.0 Std/Min.,13.0 Std/Min.,JB,"46.6049014894, 7.92100343934",958
7372,Wengen,Check-in am Bahnhof,01.01.2013,01.01.2003,0001-01-01T07:53:28+00:53,0001-01-01T18:23:28+00:53,,,,,1,1,1,1,1,1,1,10.30 Std/Min.,52.30 Std/Min.,10.30 Std/Min.,10.30 Std/Min.,JB,"46.6049014894, 7.92100343934",959
7372,Wengen,Gepäck,,01.01.2008,0001-01-01T06:53:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,1,1,13.0 Std/Min.,65.0 Std/Min.,13.0 Std/Min.,13.0 Std/Min.,JB,"46.6049014894, 7.92100343934",960
7374,Kleine Scheidegg,"Billette, Abonnemente, Freizeitangebote",01.01.2016,01.01.1931,0001-01-01T08:23:28+00:53,0001-01-01T18:23:28+00:53,,,,,1,1,1,1,1,1,1,10.0 Std/Min.,50.0 Std/Min.,10.0 Std/Min.,10.0 Std/Min.,JB,"46.5847945993, 7.96012305872",961
7379,Mürren BLM,Gepäck,01.01.2020,01.01.1931,0001-01-01T08:28:28+00:53,0001-01-01T12:43:28+00:53,0001-01-01T14:38:28+00:53,0001-01-01T18:38:28+00:53,,,1,1,1,1,1,1,1,8.15 Std/Min.,41.15 Std/Min.,8.15 Std/Min.,8.15 Std/Min.,JB,"46.5641050247, 7.89724225608",962
7380,Grindelwald,"Billette, Abonnemente, Freizeitangebote",01.01.2026,01.01.2022,0001-01-01T07:03:28+00:53,0001-01-01T21:13:28+00:53,,,,,1,1,1,1,1,1,1,14.10 Std/Min.,70.50 Std/Min.,14.10 Std/Min.,14.10 Std/Min.,JB,"46.6243684278, 8.03331025897",963
7380,Grindelwald,Check-in am Bahnhof,01.01.2009,01.01.1931,0001-01-01T07:03:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,1,1,12.50 Std/Min.,64.10 Std/Min.,12.50 Std/Min.,12.50 Std/Min.,JB,"46.6243684278, 8.03331025897",964
7384,Lauterbrunnen,Gepäck,,01.01.2010,0001-01-01T06:53:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,1,1,13.0 Std/Min.,65.0 Std/Min.,13.0 Std/Min.,13.0 Std/Min.,JB,"46.5984335089, 7.90809093738",965
7388,Wilderswil,Fundservice,,01.01.1931,0001-01-01T07:53:28+00:53,0001-01-01T12:38:28+00:53,0001-01-01T14:08:28+00:53,0001-01-01T18:43:28+00:53,,,1,1,1,1,1,1,1,9.20 Std/Min.,46.40 Std/Min.,9.20 Std/Min.,9.20 Std/Min.,JB,"46.6657027223, 7.86947421285",966
7388,Wilderswil,Gepäckaufbewahrung,,01.01.1931,0001-01-01T07:53:28+00:53,0001-01-01T12:38:28+00:53,0001-01-01T14:08:28+00:53,0001-01-01T18:43:28+00:53,,,1,1,1,1,1,1,1,9.20 Std/Min.,46.40 Std/Min.,9.20 Std/Min.,9.20 Std/Min.,JB,"46.6657027223, 7.86947421285",967
7475,Kandersteg,"Billette, Abonnemente, Freizeitangebote",,01.01.1931,0001-01-01T07:53:28+00:53,0001-01-01T18:53:28+00:53,,,,,1,1,1,1,1,1,1,11.0 Std/Min.,55.0 Std/Min.,11.0 Std/Min.,11.0 Std/Min.,BLS,"46.4955238841, 7.67126537052",968
7475,Kandersteg,Geldwechsel,01.01.2002,01.01.2013,0001-01-01T08:03:28+00:53,0001-01-01T19:08:28+00:53,,,,,1,1,1,1,1,1,1,11.5 Std/Min.,55.25 Std/Min.,11.5 Std/Min.,11.5 Std/Min.,BLS,"46.4955238841, 7.67126537052",969
7475,Kandersteg,Velovermietung,01.01.2014,01.01.1931,0001-01-01T08:08:28+00:53,0001-01-01T18:23:28+00:53,,,,,1,1,1,1,1,1,1,10.15 Std/Min.,51.15 Std/Min.,10.15 Std/Min.,10.15 Std/Min.,BLS,"46.4955238841, 7.67126537052",970
