didok;stationsbezeichnung;schliessfach_wert;schliessfach_zeit;naechste_dienststelle;entfernung;rollstuhl_billet;rollstuhl_wc;rollstuhl_verlad;mobilift;stufenloser_perronzugang;bats;autelca;automat_ktu;geopos
9966;Wergenstein, posta;;;;;;;;;;;;;46.6266870826, 9.40807240109
9987;Falera, posta;;;;;;;;;;;;;46.800461888, 9.23222720276
16153;Niederbipp;;;Oberbipp;3.0;0;0;1;1;0;"Zugang SBB-Perron nur via 
Treppe.";0;1;47.2702527733, 7.69467541916
4236;Geneveys-sur-Coffrane, Les;;;Montmollin-Montezillon;3.0;0;0;0;0;1;Arret bus VR pour Boudevilliers-(Neuchatel)-Cernier situé à 200m;0;1;47.015085057, 6.85321349712
4284;La Presta;;;Fleurier;7.0;0;0;0;0;0;;0;0;46.9311182461, 6.65439645637
4285;Couvet;;;Fleurier;5.0;0;0;0;0;0;;0;0;46.9233508976, 6.63566843084
4291;Brinaz, La;;;Yverdon-les-Bains;3.0;0;0;0;0;1;;;0;46.794483327, 6.62005343472
4293;Essert-sous-Champvent;;;Ste-Croix;19.0;;;;;;;;;46.795338933, 6.57982686285
21;Pratteln;5.0;;;;0;0;1;1;1;;0;2;47.522657608, 7.69080243836
23;Liestal;5.0;;;;1;1;1;1;1;stufenloser Zugang PU Süd Sektor C;0;5;47.4844551308, 7.73135468775
23;Liestal;8.0;;;;1;1;1;1;1;stufenloser Zugang PU Süd Sektor C;0;5;47.4844551308, 7.73135468775
24;Lausen;;;Sissach;4.0;0;0;0;1;1;;0;1;47.470196213, 7.75982160092
27;Gelterkinden;;;Basel SBB;24.0;1;1;1;1;1;Postauto ab Bahnhofplatz;0;3;47.4658812396, 7.84765271265
27;Gelterkinden;;;Sissach;3.0;1;1;1;1;1;Postauto ab Bahnhofplatz;0;3;47.4658812396, 7.84765271265
28;Tecknau;;;Olten;11.0;0;0;0;0;1;;0;1;47.4457572594, 7.88760523024
38;Basel St. Jakob;;;;;0;0;0;0;0;;0;0;47.5426037603, 7.61951652396
61;Bottmingermühle;;;Basel SBB;6.0;;;;;;;;0;47.5324312577, 7.57344043415
79;Basel Heuwaage;;;Basel SBB;1.0;0;0;1;0;0;;;0;47.5512734228, 7.58803466213
83;Lampenberg-Ramlinsburg;;;Liestal;6.0;0;0;0;0;0;;0;0;47.4425085211, 7.76120603659
87;Waldenburg;;;Liestal;14.0;0;1;0;1;1;;0;0;47.3862834336, 7.74884124008
88;Oberdorf BL Winkelweg;;;Liestal;12.0;0;0;0;0;0;;0;0;47.3971395768, 7.74882482849
90;Basel Bad Bf;;;;;0;0;1;0;0;;0;1;47.5681463635, 7.60728432529
94;Hirschlang;;;Waldenburg;3.0;0;0;0;0;0;;0;0;47.4101280689, 7.75518056862
94;Hirschlang;;;Liestal;10.0;0;0;0;0;0;;0;0;47.4101280689, 7.75518056862
107;Choindez;;;;;;;;;;;;;47.3240166682, 7.37584613325
108;Courrendlin;;;Delémont;4.0;;;;;;;;0;47.3382686999, 7.36888252155
114;Zwingen;;;;;0;1;0;0;1;Postautohaltestelle hinter dem Bahnhof;0;1;47.4337913284, 7.53045708322
115;Grellingen;;;Laufen;8.0;0;0;0;0;1;Nur Gleis 2 mit stufenlosem Perronzugang;0;1;47.4412906001, 7.59198326877
116;Duggingen;;;Laufen;10.0;0;0;0;0;1;;0;1;47.4534348999, 7.60344839068
117;Aesch;;;Laufen;12.0;0;0;0;0;1;;0;1;47.4677359724, 7.60305476436
117;Aesch;;;Dornach-Arlesheim;2.0;0;0;0;0;1;;0;1;47.4677359724, 7.60305476436
118;Dornach-Arlesheim;5.0;;;;0;0;1;1;1;;0;2;47.488608339, 7.61110691339
120;Courtételle;;;Delémont;3.0;0;0;0;0;0;;0;1;47.3428223281, 7.3179306259
120;Courtételle;;;Glovelier;9.0;0;0;0;0;0;;0;1;47.3428223281, 7.3179306259
143;Grandgourt;;;Boncourt;4.0;;;;;;;;;47.4699139104, 7.0480940862
144;Buix;;;Courtemaîche;3.0;0;0;0;0;0;;0;1;47.4793218519, 7.02995536103
165;Pied-d'Or, Le;;;Tramelan;5.0;0;0;0;0;1;;0;0;47.2220366657, 7.05627482585
167;Les Breuleux-Eglise;;;Les Breuleux;1.0;0;0;0;0;1;;0;0;47.2131106665, 7.00240069564
169;Muriaux;;;Le Noirmont;4.0;0;0;0;0;1;;0;0;47.2436902984, 6.9854681871
171;Reussilles, Les;;;Les Breuleux;7.0;0;0;0;0;1;Bus pour St-Imier, Saignelégier et Glovelier place de la gare;;0;47.2242377187, 7.08344492187
172;La Chaux-des-Breuleux;;;Tramelan;8.0;;;;;;;;0;47.2203638578, 7.02519491707
175;Creux-des-Biches, Le;;;Bois, Les;5.0;0;0;0;0;1;;;0;47.2034598225, 6.94064516433
180;Large-Journée, La;;;Bois, Les;2.0;0;0;0;0;1;;0;0;47.1612544282, 6.89670078328
181;La Chaux-d'Abel;;;Bois, Les;4.0;0;0;0;0;1;;0;0;47.1527186599, 6.89871257637
181;La Chaux-d'Abel;;;Ferrière, La;2.0;0;0;0;0;1;;0;0;47.1527186599, 6.89871257637
186;Alle;;;Vendlincourt;5.0;0;1;1;0;1;Photocopieur;0;0;47.4241348211, 7.12833347606
201;Lengnau;;;Grenchen Süd;3.0;0;0;0;0;0;;0;1;47.1794233382, 7.36654652735
202;Grenchen Süd;;;Grenchen Nord SBB;1.0;1;1;1;1;1;;0;2;47.1887666151, 7.39817426522
204;Selzach;;;Grenchen Süd;4.0;0;0;0;0;1;Altreu BSG zu Fuss 20 Minuten;0;1;47.2006188377, 7.45662984225
205;Bellach;;;Solothurn;4.0;;;;;;;1;;47.2089019374, 7.50785978776
206;Solothurn West;;;Solothurn;1.0;0;0;0;0;0;Busse ab Amthausplatz (5 min.)  Aareschiffstation 10 min.;0;2;47.2067084108, 7.53194511273
207;Solothurn;5.0;;;;1;1;1;1;1;Nach Wiedlisbach ab Bahnhofplatz;0;5;47.2041807751, 7.54268420304
208;Luterbach-Attisholz;;;Deitingen;3.0;0;0;0;0;0;;0;1;47.2171432544, 7.58351524915
208;Luterbach-Attisholz;;;Solothurn;4.0;0;0;0;0;0;;0;1;47.2171432544, 7.58351524915
210;Wangen an der Aare;;;Solothurn;10.0;0;0;0;0;0;;0;1;47.2319515056, 7.6562236042
213;Oberbuchsiten;;;;;0;0;0;0;0;;0;1;47.3052431626, 7.77171069136
218;Olten;3.0;;;;1;1;1;1;1;;0;9;47.3519295325, 7.907688105
229;Inkwil;;;;;;;;;;;;;47.1954886998, 7.66470613591
266;Corcelles BE;;;Gänsbrunnen;4.0;0;0;0;0;0;;0;0;47.2856185158, 7.45035177494
274;Feldbrunnen;;;Niederbipp;13.0;0;0;0;0;1;;0;0;47.220664458, 7.55585243531
280;Solothurn Baseltor;;;Solothurn;0.2;0;0;0;0;1;;0;0;47.2099920516, 7.54189023012
289;Buchli;;;Solothurn;14.0;0;1;0;0;0;;0;0;47.2636317218, 7.67837843477
300;Kaiseraugst;;;Pratteln;3.0;0;0;0;0;1;;0;1;47.5384906334, 7.72412101576
302;Möhlin;;;Rheinfelden;4.0;0;0;0;0;1;;0;1;47.5618497594, 7.83385418673
303;Mumpf;;;Möhlin;7.0;0;0;0;0;0;Gleis 2 Richtung Stein-S., Gleis 3 Richtung Basel;0;1;47.5476175889, 7.90961301385
304;Eiken;;;Frick;4.0;0;0;0;0;1;;0;1;47.5330359504, 7.98977700634
305;Frick;5.0;;;;1;1;0;1;1;;0;2;47.5073437467, 8.01307225263
313;Rheinfelden Augarten;;;;;0;1;0;0;1;;0;0;47.5458662882, 7.76802232018
323;Sulz;;;;;;;;;;;;;47.5565547442, 8.09046568471
326;Leibstadt;;;Koblenz;7.0;;;;;;;;;47.5932358639, 8.16554445493
472;Grenchen BGU;;;;;0;0;1;0;1;;0;0;
750;Balm b. Günsberg, Post;;;;;;;;;;;;;47.2532214438, 7.5593052279
751;Bellelay, poste;;;;;;;;;;;;;47.2631330557, 7.16662564177
765;Nunningen, Post;;;;;;;;;;;;;47.3923609329, 7.61809484292
766;Beinwil SO, Oberbeinwil;;;;;;;;;;;;;47.3594165063, 7.61704463755
767;Oberbözberg, Mitteldorf;;;;;;;;;;;;;47.4975108412, 8.15696355089
775;Seewen SO, Post;;;;;;;;;;;;;47.4342471441, 7.65484698306
797;Laupersdorf, Post;;;;;;;;;;;;;47.3119022814, 7.65239575822
863;Montfaucon, village Reka;;;Glovelier;28.0;;;;;;;;0;47.282516149, 7.0506853286
1001;Plaine, La;;;;;0;0;0;1;0;;0;1;46.1786594705, 5.99999627842
1004;Bourdigny;;;Genève;9.0;;;;;;;;0;
1006;Meyrin;;;;;0;0;0;0;0;;0;1;46.2223320008, 6.0769127207
1012;Creux-de-Genthod;;;Genève;6.0;0;0;0;0;0;;0;0;46.263759507, 6.16132058711
1014;Mies;;;Versoix;3.0;0;0;0;0;0;;0;1;46.2998757136, 6.1695702204
1016;Founex;;;Genève;15.0;0;0;0;0;1;;;0;46.3356838492, 6.19720446544
1020;Chambésy;;;Genève;5.0;0;0;0;0;0;;0;1;46.2423769792, 6.14733924476
1026;Genève-Aéroport;4.0;;;;1;1;1;1;1;;0;7;46.2325293452, 6.11198571992
1026;Genève-Aéroport;5.0;;;;1;1;1;1;1;;0;7;46.2325293452, 6.11198571992
1026;Genève-Aéroport;7.0;;;;1;1;1;1;1;;0;7;46.2325293452, 6.11198571992
1036;St-Prex;;;Rolle;9.0;0;0;0;0;0;;0;2;46.4823041329, 6.45590462293
1047;Morges-St-Jean;;;Morges;2.0;0;0;0;0;1;;0;2;46.5181892679, 6.50804512989
1048;Lonay-Préverenges;;;Renens VD;4.0;0;0;0;0;1;;0;1;46.5231229916, 6.51954667355
1054;Gottaz, La;;;Morges;1.0;;;;;;;;0;46.5065411721, 6.48446729703
1054;Gottaz, La;;;Bière;18.0;;;;;;;;0;46.5065411721, 6.48446729703
1060;Cure, La;;;St-Cergue;8.0;;;;;;;;;46.4651296345, 6.07357840977
1061;Givrine, La;;;St-Cergue;4.0;;;;;;;;;46.4545850909, 6.11145235515
1063;Arzier;;;St-Cergue;6.0;;;;;;;;;46.4586200614, 6.21166072137
1064;Bassins;;;St-Cergue;8.0;;;;;;;;;46.4605522576, 6.22231836609
1065;Muids, Le;;;Genolier;3.0;;;;;;;;;46.4542885303, 6.21544277663
1080;Marais, Le;;;Bière;15.0;;;;;;;;0;46.5274603695, 6.46259149275
1096;Bière;;;;;0;1;1;0;0;;0;0;46.5374295583, 6.33691885158
1100;Pont, Le;;;Sentier-Orient;10.0;0;0;0;0;0;;0;0;46.6686762914, 6.32465796226
1113;Bavois;;;Chavornay;3.0;0;0;0;0;0;;0;1;46.6876714456, 6.55933195932
4221;Neuchâtel;6.0;;;;1;1;1;1;1;;0;6;46.9967222076, 6.93570514491
4222;St-Blaise CFF;;;Neuchâtel;5.0;0;0;0;0;0;;0;1;47.0145655009, 6.98210841908
4225;Landeron, Le;;;Biel/Bienne;17.0;0;0;0;0;0;;0;1;47.056626064, 7.06632947231
4226;Neuveville, La;;;Biel/Bienne;15.0;0;0;0;0;1;Bus PTT part de la place de la gare;0;1;47.0628240754, 7.09522000485
4227;Ligerz;;;Biel/Bienne;11.0;0;0;0;0;1;LTB part vis-à-vis de la gare;0;1;47.0837604425, 7.13514479553
4228;Twann;;;Biel/Bienne;9.0;0;0;0;0;0;;0;1;47.0936555927, 7.15649171643
4231;Deurres, Les;;;Neuchâtel-Serrières;1.0;0;0;0;0;0;;0;0;46.9855183801, 6.899149402
4238;Convers;;;;;;;;;;;;;47.0840196485, 6.86466645231
4275;Bullet, bif. Granges Champod;;;;;;;;;;;;;46.8473173809, 6.57865517964
4291;Brinaz, La;;;Ste-Croix;21.0;0;0;0;0;1;;;0;46.794483327, 6.62005343472
4294;Vuiteboeuf;;;Yverdon-les-Bains;9.0;0;0;0;0;1;;;0;46.803828547, 6.5536071862
4297;Trois-Villes;;;Ste-Croix;5.0;;;;;;;;;46.8002671302, 6.53197189466
4303;Heutte, La;;;Apples;11.0;0;0;0;0;0;;0;1;47.1894830754, 7.22538868069
4304;Sonceboz-Sombeval;;;Reuchenette-Péry;7.0;1;1;0;1;1;;0;1;47.1951382943, 7.16875443477
4306;Cortébert;;;Sonceboz-Sombeval;6.0;0;0;1;0;1;;0;1;47.1893284366, 7.10729623806
4309;Villeret;;;Courtelary;3.0;0;0;0;0;0;;0;1;47.1601953195, 7.01967397553
4312;Renan BE;;;;;0;0;0;0;1;;0;1;47.1257120451, 6.92537048378
4314;La Chaux-de-Fonds;4.0;;;;1;1;1;1;1;;0;3;47.0986436492, 6.82601877705
4316;Locle, Le;;;Locle-Col-des-Roches, Le;2.0;1;1;0;0;1;"Stufenloser Perronzugang (Lift/Rampe) gilt nur für Gleis 1
L'accès au quai sans escaliers ne peut se faire que sur le quai 1";1;0;47.0578541411, 6.74615360469
4364;Port;;;Nidau;2.0;;;;;;;;;47.1183339771, 7.25660036534
4373;Engelberg-Wingreis;;;Twann;5.0;;;;;;;;;47.1021518279, 7.17753718901
4382;Reymond, Le;;;Les Ponts-de-Martel;14.0;;;;;;;;;47.0870449944, 6.84407585566
4382;Reymond, Le;;;La Chaux-de-Fonds;3.0;;;;;;;;;47.0870449944, 6.84407585566
4387;Petit-Martel;;;La Chaux-de-Fonds;15.0;;;;;;;;;47.0101255182, 6.75527952112
4391;Frêtes, Les;;;Locle, Le;2.0;;;;;;;1;;47.0586019055, 6.72580707809
4396;Tourne, La, Col;;;;;;;;;;;;;46.9880675216, 6.79222408729
4419;Biel Mett;;;Biel/Bienne;3.6;0;0;0;0;0;;0;1;47.1447131206, 7.27247559035
4441;Studen BE;;;Brügg BE;2.0;0;0;0;0;1;;0;0;47.110427547, 7.30173945882
4464;Hagneck;;;Ins;10.0;0;0;0;0;1;;0;0;47.0581176023, 7.18792711472
4466;Siselen BE;;;Ins;6.0;0;0;0;0;1;;0;0;47.031151605, 7.18038387046
4467;Brüttelen;;;Täuffelen;8.0;0;0;0;0;0;;0;0;47.0205952626, 7.14828840568
4469;Nidau Beunden;;;Biel/Bienne;1.0;0;1;0;0;1;;0;0;47.1198180076, 7.24030780763
4471;Ipsach;;;Biel/Bienne;2.0;0;0;0;0;1;;0;0;47.1173718906, 7.2354677879
4475;Gerolfingen;;;Täuffelen;1.0;0;1;0;0;1;;0;0;47.0749756976, 7.20123830847
4477;Finsterhennen;;;Ins;6.0;0;0;0;0;1;;0;0;47.0298168273, 7.17883797704
4480;St-Blaise-Lac;;;Neuchâtel;4.0;0;0;0;0;0;;0;0;47.0120930578, 6.98468086094
4483;Ins;;;Murten;10.0;0;1;1;1;1;BTI auf Bahnhofplatz, Bus neben AG / ins Dorfzentrum ca 1 Km;0;0;46.9998261907, 7.09955576908
4484;Müntschemier;;;Ins;5.0;0;0;0;0;0;;0;0;46.9933159441, 7.14242855983
4485;Ferenbalm-Gurbrü;;;Gümmenen;2.0;;;;;;;;0;46.9540538469, 7.21886628898
4487;Rosshäusern;;;Gümmenen;6.0;0;0;0;0;0;;0;0;46.9343342218, 7.29685984085
4487;Rosshäusern;;;Bern Bümpliz Nord;8.0;0;0;0;0;0;;0;0;46.9343342218, 7.29685984085
4669;Torgon, poste;;;;;;;;;;;;;46.3185913642, 6.87419577981
4754;Villarzel, village;;;;;;;;;;;;;46.7485204402, 6.9120742686
4756;Seedorf BE, Post;;;;;;;;;;;;;47.0334529959, 7.31340971831
4777;Radelfingen bei Aarberg, Post;;;;;;;;;;;;;47.0225437044, 7.27254068898
4861;Jaunpass, Restaurant;;;;;;;;;;;;;46.5914455685, 7.33755085052
4868;Plaffeien, Dorf;;;;;;;;;;;;;46.7413971884, 7.2861437738
4875;Sangernboden, Post;;;;;;;;;;;;;46.7124472328, 7.35176003482
4994;Maison-Monsieur, La, bif.;;;;;;;;;;;;;47.1494742607, 6.84120521822
5000;Luzern;8.0;;;;1;1;1;1;1;Gleis 2 sowie 15 verkürzt;0;15;47.0501697679, 8.31017092011
5002;Küssnacht am Rigi;;;Meggen;5.0;0;0;1;1;1;Kein schienenfreier Zugang, SGV-Bus ab Bahnhofplatz;0;2;47.0835940036, 8.4334940573
5004;Arth-Goldau;5.0;;;;1;1;1;1;1;Rigibahn fährt ab provisorischer Haltestelle Eichmatt. Bitte Unterführung und Ausgang Süd benutzen.;0;2;47.04915622, 8.54949116322
5005;Steinen;;;Schwyz;3.0;0;0;0;0;0;;0;1;47.0476633004, 8.60743525261
5013;Meierskappel-Risch;;;Immensee;4.0;;;;;;;;;47.1240244783, 8.45156306647
5066;Rigi Klösterli;;;;;;;;;;;;;47.0425459978, 8.48713480959
5068;Rigi Staffel;;;Rigi Kulm;1.0;;;;;;;;;47.0536828684, 8.47424275573
5068;Rigi Staffel;;;Rigi Klösterli;3.0;;;;;;;;;47.0536828684, 8.47424275573
5069;Rigi Kulm;;;Rigi Klösterli;3.0;;;;;;;;;47.0551754418, 8.4852361881
5069;Rigi Kulm;;;Rigi Staffel;1.0;;;;;;;;;47.0551754418, 8.4852361881
5090;Schlattli SSSF;;;;;;;;;;;;;46.9919341728, 8.66837098786
5111;Sisikon;;;Flüelen;5.0;0;0;0;1;0;;0;0;46.9492536033, 8.62073068694
5113;Altdorf;;;Flüelen;3.0;0;0;1;1;1;Keine Zwischen- und Aussenperron;0;1;46.8757407268, 8.63156572016
5114;Erstfeld;;;;;0;0;0;1;1;;0;1;46.8203404742, 8.6504428878
5165;Andermatt;;;Realp;9.0;1;1;1;0;0;;0;0;46.6368923078, 8.59327487979
5172;Oberalppasshöhe-Calmot;;;Andermatt;10.0;;;;;;;;;46.6602302819, 8.67050230769
5173;Tschamut-Selva;;;Disentis/Mustér;15.0;;;;;;;;;46.6567477733, 8.70908568949
5173;Tschamut-Selva;;;Andermatt;14.0;;;;;;;;;46.6567477733, 8.70908568949
5176;Sedrun;;;Andermatt;19.0;0;1;1;0;1;;0;0;46.6810660346, 8.76977687553
5178;Mompé Tujetsch;;;Sedrun;4.0;;;;;;;;;46.6819620256, 8.82444232075
5179;Segnas;;;Sedrun;6.0;;;;;;;;;46.6910014869, 8.82981279231
5201;Airolo;;;Bellinzona;60.0;0;0;0;0;0;;0;1;46.5275264817, 8.6086051345
5205;Lavorgo;;;Biasca;19.0;0;0;0;0;0;;0;0;46.4408978389, 8.83974336723
5206;Giornico;;;Bodio;4.0;;;;;;;;;46.4026513909, 8.87212788076
5207;Bodio;;;Lavorgo;10.0;0;0;0;0;0;;0;0;46.3802576814, 8.90655905474
5207;Bodio;;;Biasca;6.0;0;0;0;0;0;;0;0;46.3802576814, 8.90655905474
5208;Pollegio;;;Biasca;3.0;;;;;;;;;
5213;Bellinzona;4.0;;;;1;1;1;1;0;PTT Schnellkurse nach Chur ab Bahnhofplatz;0;3;46.195436816, 9.02950898687
5217;Mezzovico;;;Rivera-Bironico;4.0;0;0;0;0;0;;0;1;46.0942810833, 8.92858485104
5255;Dongio, Piazza;;;;;;;;;;;;;46.44084659, 8.95096584835
5303;Maroggia-Melano;;;Capolago-Riva S. Vitale;4.0;0;0;0;0;0;PTT piazzale staz. davanti al sottoparsaggio;0;1;45.9324428303, 8.97393689235
5304;Capolago-Riva S. Vitale;;;Maroggia-Melano;4.0;0;0;0;1;1;Bus per Riva, Brusino,Melano,Mendrisio   M.Generoso: Tel 091/648 11 05;0;1;45.9028465135, 8.97889335734
5306;Balerna;;;Chiasso;4.0;0;0;0;0;0;;0;1;45.846756939, 9.00503477094
5306;Balerna;;;Mendrisio;4.0;0;0;0;0;0;;0;1;45.846756939, 9.00503477094
5389;Tesserete, Stazione;;;;;;;;;;;;;46.0660079851, 8.96651226271
5395;Agno;;;Lugano;11.0;0;0;1;1;0;;;0;45.9959365668, 8.90091306299
5400;Locarno;5.0;;;;1;1;1;1;1;;0;4;46.1724273965, 8.80135894865
5402;Gordola;;;Cadenazzo;7.0;0;0;0;0;0;;0;1;46.1790452957, 8.86576625228
5402;Gordola;;;Riazzino-Cugnasco;3.0;0;0;0;0;0;;0;1;46.1790452957, 8.86576625228
5406;Magadino-Vira;;;Locarno;18.0;0;0;0;0;0;;0;1;46.1453223595, 8.85017913795
5406;Magadino-Vira;;;Bellinzona;20.0;0;0;0;0;0;;0;1;46.1453223595, 8.85017913795
5415;S. Antonino;;;Giubiasco;3.0;0;0;0;0;0;;0;0;46.1604416733, 8.97392431539
5478;Maggia;;;;;;;;;;;;;46.2451027779, 8.70720630506
5486;Bignasco;;;;;;;;;;;;;46.3393183604, 8.60760555383
5752;Balm (Klausen);;;;;;;;;;;;;46.87227015, 8.83712380645
5756;Cademario, Posta;;;;;;;;;;;;;46.0214413531, 8.89549980008
5769;Gotthard Passhöhe;;;;;;;;;;;;;46.5553889955, 8.56674452873
5778;Bristen, Post;;;;;;;;;;;;;46.7688762589, 8.69005863262
5782;Sessa, Posta;;;;;;;;;;;;;45.9981813545, 8.81934831721
5784;Fusio, Paese;;;;;;;;;;;;;46.4436431476, 8.66308403811
5850;Ascona, Posta;;;;;;;;;;;;;46.156583235, 8.76973593237
1795;Crans-s.-S., poste;;;Montana-Gare;2.0;;;;;;;;;46.3071909875, 7.46612375447
1871;Montherod, village;;;;;;;;;;;;;46.4988446859, 6.36613106276
1877;Bourg-St-Bernard;;;;;;;;;;;;;45.900593367, 7.19578690818
1882;Champex, Lac;;;;;;;;;;;;;46.0302876526, 7.11642814738
4297;Trois-Villes;;;Yverdon-les-Bains;19.0;;;;;;;;;46.8002671302, 6.53197189466
4300;Biel/Bienne;4.0;;;;1;1;1;1;1;;0;10;47.1328920532, 7.24290845288
4301;Frinvillier-Taubenloch;;;Reuchenette-Péry;3.0;0;0;0;0;0;;0;1;47.1694441249, 7.25752019856
4302;Reuchenette-Péry;;;Biel/Bienne;8.0;0;0;0;0;1;;0;1;47.1897281967, 7.24701400432
4304;Sonceboz-Sombeval;;;Cortébert;6.0;1;1;0;1;1;;0;1;47.1951382943, 7.16875443477
4306;Cortébert;;;Biel/Bienne;19.0;0;0;1;0;1;;0;1;47.1893284366, 7.10729623806
4308;Cormoret;;;St-Imier;5.0;0;0;0;0;0;;0;1;47.1729358067, 7.05412061848
4310;St-Imier;;;La Chaux-de-Fonds;16.0;0;1;1;1;1;;0;1;47.151698154, 7.00121493749
4310;St-Imier;;;Biel/Bienne;28.0;0;1;1;1;1;;0;1;47.151698154, 7.00121493749
4311;Sonvilier;;;Renan BE;4.0;0;0;0;0;0;;0;1;47.1413268967, 6.96934420104
4315;Crêt-du-Locle, Le;;;Locle-Col-des-Roches, Le;6.0;0;0;0;0;1;;0;1;47.0775941385, 6.78517707886
4320;Pontarlier;;;;;0;0;0;0;0;;1;0;46.9170628592, 6.34505216784
4323;Eplatures, Les;;;;;;;;;;;;;47.0834842398, 6.79760252619
4376;St. Petersinsel Nord;;;Landeron, Le;10.0;;;;;;;;;47.0683172366, 7.13561434584
4376;St. Petersinsel Nord;;;Ins Dorf;10.0;;;;;;;;;47.0683172366, 7.13561434584
4391;Frêtes, Les;;;Brenets, Les;3.0;;;;;;;1;;47.0586019055, 6.72580707809
4402;Kallnach;;;Aarberg;4.0;0;0;0;0;0;;0;0;47.0255145356, 7.23518610743
4403;Bargen;;;Aarberg;1.0;0;0;0;0;1;Perronhöhe 55cm;0;0;47.0401568899, 7.26116993007
4411;Münchenbuchsee;;;;;1;1;1;0;1;"Perronhöhe 55cm. 

Postauto-Haltestelle ;Dorf";;0;47.0213694411, 7.45194288392
4413;Suberg-Grossaffoltern;;;Lyss;3.0;0;0;0;0;0;Perronhöhe 55cm.;0;0;47.0587722765, 7.33899071375
4414;Lyss;5.0;;;;1;1;1;1;0;"Gleis 4 und 5: kein stufenloser Perronzugang. 
Busse ab Bahnhofplatz Gleis 1";0;3;47.0763151407, 7.30629081519
4415;Busswil;;;Lyss;3.0;0;0;0;0;0;;0;0;47.0986722307, 7.31861716108
4416;Brügg BE;;;Lyss;7.0;0;0;0;0;0;SCHIFFSTATION BSG DISTANZ: 400 M;0;0;47.1236283761, 7.27820819072
4461;Nidau;;;Biel/Bienne;1.0;0;0;1;0;1;;0;0;47.1240128541, 7.24217672769
4464;Hagneck;;;Täuffelen;1.0;0;0;0;0;1;;0;0;47.0581176023, 7.18792711472
4472;Sutz;;;Täuffelen;6.0;0;1;0;0;1;;0;0;47.101870975, 7.21941610659
4474;Mörigen;;;Biel/Bienne;6.0;0;1;0;0;1;;0;0;47.0856480522, 7.21222658595
4474;Mörigen;;;Täuffelen;4.0;0;1;0;0;1;;0;0;47.0856480522, 7.21222658595
4477;Finsterhennen;;;Biel/Bienne;15.0;0;0;0;0;1;;0;0;47.0298168273, 7.17883797704
4483;Ins;;;Müntschemier;5.0;0;1;1;1;1;BTI auf Bahnhofplatz, Bus neben AG / ins Dorfzentrum ca 1 Km;0;0;46.9998261907, 7.09955576908
4486;Gümmenen;;;;;0;0;0;0;1;Busse ab P + R Anlage;0;0;46.9421730828, 7.23440009719
4489;Bern Bümpliz Nord;;;;;1;1;1;1;1;Quartierbus Nr. 27 verkehrt ab der Mühledorfstrasse.;0;0;46.9458272511, 7.38974518517
4495;Bern Stöckacker;;;Bern;3.0;0;0;0;0;0;;0;0;46.9463533757, 7.40117211665
4554;Gorgier-Chez-le-Bart;;;;;;;;;;;;;46.9000012364, 6.78739227011
4758;Mézières VD, village;;;;;;;;;;;;;46.5961160674, 6.7703226094
4862;Marly, Cité;;;;;;;;;;;;;46.7767269422, 7.16044884923
4863;Marsens, village;;;;;;;;;;;;;46.6564962404, 7.06456268836
4877;Tafers, Post;;;;;;;;;;;;;46.8150709408, 7.21605564689
5000;Luzern;6.0;;;;1;1;1;1;1;Gleis 2 sowie 15 verkürzt;0;15;47.0501697679, 8.31017092011
5001;Meggen;;;;;0;1;0;0;1;;0;1;47.0501422644, 8.38304450517
5002;Küssnacht am Rigi;;;Immensee;3.0;0;0;1;1;1;Kein schienenfreier Zugang, SGV-Bus ab Bahnhofplatz;0;2;47.0835940036, 8.4334940573
5011;Merlischachen;;;Meggen;3.0;0;0;0;0;1;;0;0;47.0676559849, 8.40903921336
5064;Kräbel;;;Arth-Goldau;2.0;;;;;;;;;47.0402138198, 8.53079089445
5064;Kräbel;;;Rigi Klösterli;2.0;;;;;;;;;47.0402138198, 8.53079089445
5067;Rigi First;;;Rigi Klösterli;1.0;;;;;;;;;47.0472483652, 8.47651379512
5073;Romiti Felsentor;;;Vitznau RB;3.0;;;;;;;;;47.0364407479, 8.47592312499
5091;Stoos;;;;;;;;;;;;;46.9839129798, 8.66469050453
5119;Göschenen;;;;;1;1;1;0;0;MGB ab Bahnhofplatz;0;1;46.6658163572, 8.58879659143
5165;Andermatt;;;Sedrun;28.0;1;1;1;0;0;;0;0;46.6368923078, 8.59327487979
5170;Nätschen;;;Sedrun;15.0;;;;;;;;;46.6424309927, 8.61294775707
5173;Tschamut-Selva;;;Sedrun;6.0;;;;;;;;;46.6567477733, 8.70908568949
5176;Sedrun;;;Disentis/Mustér;10.0;0;1;1;0;1;;0;0;46.6810660346, 8.76977687553
5179;Segnas;;;Disentis/Mustér;3.0;;;;;;;;;46.6910014869, 8.82981279231
5190;Gemsstock;;;;;;;;;;;;;46.6022200267, 8.61172215994
5191;Gurschen;;;Andermatt;2.0;;;;;;;;;46.6184067257, 8.59836387679
5202;Ambrì-Piotta;;;Rodi-Fiesso;5.0;;;;;;;;;46.510616719, 8.69015147937
5212;Castione-Arbedo;;;Bellinzona;4.0;0;0;0;0;1;;0;1;46.2252573555, 9.04139950613
5262;Olivone, Posta;;;;;;;;;;;;;46.5292322009, 8.93630529794
5269;Lukmanier Passhöhe;;;;;;;;;;;;;46.5635862704, 8.80159677504
5271;Leontica;;;;;;;;;;;;;46.4563766342, 8.923656477
