didok,stationsbezeichnung,parkrail_anzahl,parkrail_preis_tag,parkrail_preis_monat,parkrail_preis_jahr,parkrail_pflichtig_zeit1,parkrail_pflichtig_zeit2,parkrail_pflichtig_zeit3,parkrail_bemerkung,railtaxitext,railtaxiinfo,mietvelo_bezeichnung,mietvelo_anzahl,mietvelo_bemerkung,veloparking_status_d,veloparking_bemerkung_d,veloparking_abschliessbar,veloparking_abschliessbar_text,carsharing standort_bezeichnung,geopos
1022,Versoix,22,7,70,700,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Versoix Gare,"46.2797158332, 6.16574632626"
310,Villnachern,8,0,0,0,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,,"47.474364319, 8.15763284493"
1100,"Pont, Le",20,0,0,0,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.6686762914, 6.32465796226"
1012,Creux-de-Genthod,,,,,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,,"46.263759507, 6.16132058711"
1007,Cointrin,,,,,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,,"46.2207092326, 6.09389439216"
1013,Pont-Céard,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.287391434, 6.16267245042"
1034,Perroy,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.4712228249, 6.36299352204"
1509,Sierre/Siders,135,10,70,700,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,Gratisnummer 0800 44 22 66,,,,,"Knappe Verfügbarkeit von Veloabstellplätzen, teilweise überbelegt",,0,,Sierre / Siders Gare,"46.2921149792, 7.53283036255"
1118,Renens VD,0,,,,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Anzahl Parkplätze stark reduziert während der Baubarbeiten ab Januar 2014 und bis 2018. Keine Monatskarten und Jahreskarten aktuell erhältich.,Gratisnummer 0800 44 22 66,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,Renens (VD) Gare,"46.5370287879, 6.57893884264"
1117,Bussigny,36,7,50,500,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.5475795245, 6.55181947041"
1601,Leuk,132,5,50,500,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Leuk Bahnhof,"46.3118851335, 7.64394777254"
1404,Evionnaz,,,,,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,,"46.1692425762, 7.02552647988"
1125,Epesses,,,,,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,,"46.4893183671, 6.74516355201"
1113,Bavois,,,,,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,,"46.6876714456, 6.55933195932"
1428,St-Gingolph (Suisse),,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.3919600075, 6.80589031952"
1420,Massongex,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.2411990719, 6.98565622637"
1110,Ependes,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.7464094417, 6.60765826253"
2206,Baar,142,10,70,700,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Parkkarten nur für Inhaber von GA oder Streckenabo (mindestens bis Zürich/Luzern), Zugerpass gibt kein Anspruch, Online-Ticket erhältlich.",,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Baar Bahnhof,"47.1953625991, 8.52325583517"
2202,Rotkreuz,290,8,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Tagesparking an der Parkuhr, Monats- und Tageskarten am Schalter, Online-Ticket erhältlich.",,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Rotkreuz Bahnhof,"47.1417586665, 8.43047453438"
2225,Mettmenstetten,98,6,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 06:00-20:00","Mo,Tu,We,Th,Fr,Sa,Su 07:00-17:00","Mo,Tu,We,Th,Fr,Sa,Su 07:00-17:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Mettmenstetten Bahnhof,"47.244071939, 8.45736538581"
2216,Benzenschwil,15,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.2468435811, 8.36559619501"
2212,Dottikon-Dintikon,36,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.3736425259, 8.23468774088"
2219,Oberrüti,6,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.1659234421, 8.40476673935"
2217,Mühlau,8,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.225014385, 8.3885103326"
2218,Sins,22,5,50,500,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.188308281, 8.39780794584"
2121,Walterswil-Striegel,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.3199221956, 7.96318642397"
2122,Kölliken Oberdorf,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.3246738705, 8.01907059825"
6121,Romanshorn,99,5,50,500,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,Kinderanhänger,5,zusätzlich verfügbar: 8 Tourenvelos,"Knappe Verfügbarkeit von Veloabstellplätzen, teilweise überbelegt",,0,,Romanshorn Bahnhof,"47.5655269844, 9.37936259732"
6121,Romanshorn,99,5,50,500,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,Elektrovelo,54,zusätzlich verfügbar: 8 Tourenvelos,"Knappe Verfügbarkeit von Veloabstellplätzen, teilweise überbelegt",,0,,Romanshorn Bahnhof,"47.5655269844, 9.37936259732"
6121,Romanshorn,99,5,50,500,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,Tandem,6,zusätzlich verfügbar: 8 Tourenvelos,"Knappe Verfügbarkeit von Veloabstellplätzen, teilweise überbelegt",,0,,Romanshorn Bahnhof,"47.5655269844, 9.37936259732"
7100,Thun,132,,50,500,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Keine Tageskarten erhältlich, Stundentarif am Parkomat",Gratisnummer 0800 44 22 66,"Treffpunkt RailTaxi: bei Gleis 1 Rampenende, vis à vis Mc Clean, neben RailLink CarSharing
Einsatzgebiet: Stadt Thun
Partner: Oesch Taxi, Thun",,,,"Knappe Verfügbarkeit von Veloabstellplätzen, teilweise überbelegt",,1,Velostation http://www.velostation.ch/de/velostationen/thun/,Thun Bahnhof,"46.7548532939, 7.62959464395"
7000,Bern,500,,,,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Private Parkangebote  / keine Jahreskarten erhältlich,Gratisnummer 0800 44 22 66,"RailTaxi Treffpunkt: auf der Bahnhofvorfahrt,  zwischen Kurzzeitparking und Taxi-Zone
Zugehörige Agglomerationsstandorte: Bern, Gümligen, Ittigen, Köniz, Muri, Ostermundigen, Zollikofen
Partner: Bären-Taxi, Bern und NOVA-Taxi AG, Bern",,,,"Knappe Verfügbarkeit von Veloabstellplätzen, teilweise überbelegt",,1,Velostation http://www.velostation.ch/de/velostationen/bern-4/,Bern Bahnhof,"46.948824497, 7.43911900576"
6311,Rorschach,55,5,50,500,"Mo,Tu,We,Th,Fr,Sa,Su 06:00-20:00","Mo,Tu,We,Th,Fr,Sa,Su 06:00-20:00","Mo,Tu,We,Th,Fr,Sa,Su 06:00-20:00",Online-Ticket erhältlich.,,,Countrybike,8,Selbstbedienungs-Station Velobezug / Rückgabe siehe Service / Öffnungszeiten,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,Rorschach Bahnhof,"47.4779984016, 9.50513168035"
6314,St. Margrethen,80,5,50,500,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Parkhaus privat, Verkauf nur vor Ort",,,Countrybike,4,Selbstbedienungs-Station,Immer genügend Veloabstellplätze verfügbar,,0,,St. Margrethen Bahnhof,"47.4532118157, 9.63825154068"
7006,Münsingen,74,5,50,500,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,"Knappe Verfügbarkeit von Veloabstellplätzen, teilweise überbelegt",,0,,Münsingen Bahnhof,"46.8733456586, 7.55942999819"
8218,Malters,27,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,Malters Bahnhof,"47.0385765972, 8.18195273224"
9400,Oberriet,16,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.3234789515, 9.57136707107"
9402,Salez-Sennwald,7,0,0,0,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.2414442444, 9.50232064245"
8101,Roggwil-Wynau,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.2516286412, 7.81490475887"
2001,Zofingen,70,,80,960,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Öffentliches Parkhaus, Abos nur erhältlich beim Stadtbüro Zofingen, Tel. 062 745 71 72.
Beim Bezug eines Parkabonnements bringen Sie bitte Ihr gültiges Bahnabonnement oder, falls Sie einen SwissPass besitzen, einen Ausdruck aus Ihrem SwissPass-Konto oder die Kaufquittung resp. das Vertragsdoppel Ihres GA, Strecken- oder Verbundabonnements vorbei.",Gratisnummer 0800 44 22 66,"RailTaxi Treffpunkt: vor Eingang Aperto, in Nähe SBB Treffpunkt
Zugehörige Agglomerationsstandorte: Zofingen, Bottenwil, Brittnau, Oftringen, Rothrist, Safenwil, Strengelbach, Uerkheim, Vordemwald, Wikon
Partner: Bahnhof-Taxi / Bahnhof-Argovia Taxi, Zofingen",,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,Zofingen Bahnhof,"47.2880447598, 7.94309735295"
2017,Waldibrücke,12,5,50,500,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.1078933281, 8.31968694103"
1603,Gampel-Steg,49,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.3065139347, 7.74757569359"
2020,Rothenburg,36,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.0881904457, 8.24917741374"
2110,Dulliken,16,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",,Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.3542660407, 7.94648945968"
2104,Hunzenschwil,8,4,30,300,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",,,,,,,Immer genügend Veloabstellplätze verfügbar,,1,Gepäckschalter,,"47.3882836417, 8.12567843923"
2033,Birrwil,12,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.2878476573, 8.19899810707"
2023,Ballwil,37,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.1537643847, 8.31688138659"
1604,Raron,38,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.3062732767, 7.80150766492"
2025,Baldegg,7,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.1856838433, 8.28020982028"
10,Basel SBB,,,,,,,,Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php,Gratisnummer 0800 44 22 66,"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel",Kinderanhänger,1,"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos",Immer genügend Veloabstellplätze verfügbar,,1,Velostation http://www.velostation.ch/de/velostationen/basel-2/,Basel Bahnhof SBB / Central Bahnparking,"47.5474041527, 7.58955146721"
10,Basel SBB,,,,,,,,Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php,Gratisnummer 0800 44 22 66,"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel",Kindertrailer,1,"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos",Immer genügend Veloabstellplätze verfügbar,,1,Velostation http://www.velostation.ch/de/velostationen/basel-2/,Basel Bahnhof SBB / Parkhaus Bahnhof Süd,"47.5474041527, 7.58955146721"
10,Basel SBB,,,,,,,,Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php,Gratisnummer 0800 44 22 66,"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel",Comfortbike,4,"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos",Immer genügend Veloabstellplätze verfügbar,,1,Velostation http://www.velostation.ch/de/velostationen/basel-2/,Basel Bahnhof SBB / Parkhaus Bahnhof Süd,"47.5474041527, 7.58955146721"
10,Basel SBB,,,,,,,,Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php,Gratisnummer 0800 44 22 66,"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel",Elektrovelo,10,"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos",Immer genügend Veloabstellplätze verfügbar,,1,Velostation http://www.velostation.ch/de/velostationen/basel-2/,Basel Bahnhof SBB / Solothurnerstrasse,"47.5474041527, 7.58955146721"
10,Basel SBB,,,,,,,,Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php,Gratisnummer 0800 44 22 66,"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel",Kindertrailer,1,"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos",Immer genügend Veloabstellplätze verfügbar,,1,Velostation http://www.velostation.ch/de/velostationen/basel-2/,Basel Badischer Bahnhof,"47.5474041527, 7.58955146721"
10,Basel SBB,,,,,,,,Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php,Gratisnummer 0800 44 22 66,"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel",Comfortbike,4,"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos",Immer genügend Veloabstellplätze verfügbar,,1,Velostation http://www.velostation.ch/de/velostationen/basel-2/,Basel Badischer Bahnhof,"47.5474041527, 7.58955146721"
10,Basel SBB,,,,,,,,Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php,Gratisnummer 0800 44 22 66,"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel",Elektrovelo,10,"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos",Immer genügend Veloabstellplätze verfügbar,,1,Velostation http://www.velostation.ch/de/velostationen/basel-2/,Basel Badischer Bahnhof,"47.5474041527, 7.58955146721"
10,Basel SBB,,,,,,,,Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php,Gratisnummer 0800 44 22 66,"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel",Tandem,2,"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos",Immer genügend Veloabstellplätze verfügbar,,1,Velostation http://www.velostation.ch/de/velostationen/basel-2/,Basel Badischer Bahnhof,"47.5474041527, 7.58955146721"
3424,Schaffhausen,80,15,160,1920,,,,"Die Parkplätze befinden sich im Parkhaus Bleiche-Areal beim Hotel ArconaLiving.
Für den ermässigten Tagestarif bitte das Parkticket am Schalter im Bahnhof Schaffhausen entwerten.
Monats- und Jahreskarten sind bei der Herrenacker Parkhaus AG erhältlich (Tel 052 624 03 03).
Ein- und Ausfahrt erfolgt ab der Mühlentalstrasse.
2 Ladestationen für Elektro-Autos vorhanden.
Mehr Informationen erhalten Sie am Billettschalter. Beim Bezug eines Parkabonnements bei der Herrenacker Parkhaus AG bringen Sie bitte Ihr gültiges Bahnabonnement oder, falls Sie einen SwissPass besitzen, einen Ausdruck aus Ihrem SwissPass-Konto vorbei.",Gratisnummer 0800 44 22 66,"Zugehörige Agglomerationsstandorte: Neuhausen, Feuerthalen, Fluringen, Herblingen.<br>RailTaxi-Partner: Taxi-Kurier 2000 GmbH",Kindertrailer,2,Ausgabe/Rücknahme der Velos in örtlicher Velostation,Immer genügend Veloabstellplätze verfügbar,,1,Velostation http://www.velostation.ch/staedte/schaffhausen.htm,Schaffhausen Bahnhof,"47.6982814692, 8.6327284859"
3424,Schaffhausen,80,15,160,1920,,,,"Die Parkplätze befinden sich im Parkhaus Bleiche-Areal beim Hotel ArconaLiving.
Für den ermässigten Tagestarif bitte das Parkticket am Schalter im Bahnhof Schaffhausen entwerten.
Monats- und Jahreskarten sind bei der Herrenacker Parkhaus AG erhältlich (Tel 052 624 03 03).
Ein- und Ausfahrt erfolgt ab der Mühlentalstrasse.
2 Ladestationen für Elektro-Autos vorhanden.
Mehr Informationen erhalten Sie am Billettschalter. Beim Bezug eines Parkabonnements bei der Herrenacker Parkhaus AG bringen Sie bitte Ihr gültiges Bahnabonnement oder, falls Sie einen SwissPass besitzen, einen Ausdruck aus Ihrem SwissPass-Konto vorbei.",Gratisnummer 0800 44 22 66,"Zugehörige Agglomerationsstandorte: Neuhausen, Feuerthalen, Fluringen, Herblingen.<br>RailTaxi-Partner: Taxi-Kurier 2000 GmbH",Comfortbike,4,Ausgabe/Rücknahme der Velos in örtlicher Velostation,Immer genügend Veloabstellplätze verfügbar,,1,Velostation http://www.velostation.ch/staedte/schaffhausen.htm,Schaffhausen Bahnhof,"47.6982814692, 8.6327284859"
3527,Buchs-Dällikon,57,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Buchs (ZH) Bahnhof Buchs-Dällikon,"47.4533973239, 8.43557852512"
3502,Siggenthal-Würenlingen,31,5,50,500,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.5179218559, 8.24015363326"
3512,Glanzenberg,100,6,60,600,,,,"Tageskarten an der Parkuhr, Monats-/Jahreskarten am RailKiosk Tel 044 740 95 80 .",,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.3988744293, 8.4204230971"
4024,Villaz-St-Pierre,11,0,0,0,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,,"46.7205784272, 6.96063985388"
4020,Oron,10,0,0,0,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,,"46.5725335165, 6.83710274179"
4017,Châtillens,5,0,0,0,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.5705277674, 6.81548498756"
3511,Neuenhof,,,,,,,,,Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Neuenhof Bahnhof,"47.4506605026, 8.33123368601"
4021,Vauderens,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"46.6214485609, 6.85003132174"
4100,Fribourg/Freiburg,135,10,150,1500,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Parking Gare routière - Tageskarte «SBB-Kunden» CHF 15.-, Monats- und Jahresabos (Öffnungszeiten 05.00-01.00), Verkauf nur vor Ort / Parking Ancienne Gare (24h/24) Plätze nur stunden- oder tageweise, Verkauf nur vor Ort.",Gratisnummer 0800 44 22 66,"Zugehörige Agglomerationsstandorte: Villars-sur-Glane, Givisiez, Marly, Belfaux, Grolly, Crominboeuf, Courtepin, Matran, Neyruz, Düdigen.<br>RailTaxi-Partner: Taxis Réunis SA",Elektrovelo,4,Selbstbedienungs-Station,Immer genügend Veloabstellplätze verfügbar,,1,Gepäckschalter,Fribourg Gare,"46.8032670642, 7.15102324519"
